Ubicación,Configuración,Latitud,Longitud,Elevación,Energía Anual (GWh),Factor de Capacidad (%)
Iquique,default,-20.23,-70.14,11.0,227.59718393780278,25.981413691529998
Iquique,high_efficiency,-20.23,-70.14,11.0,187.5487910952041,21.409679348767593
Iquique,optimized_land,-20.23,-70.14,11.0,219.07332975258498,25.008370976322485
Sevilla,default,37.37,-5.98,14.0,187.30887856799788,21.38229207397236
Sevilla,high_efficiency,37.37,-5.98,14.0,150.66168453224353,17.198822435187616
Sevilla,optimized_land,37.37,-5.98,14.0,177.77713574332708,20.294193578005373
Jodhpur,default,26.25,73.05,0.0,176.18702582913465,20.112674181408064
Jodhpur,high_efficiency,26.25,73.05,0.0,152.59620894155321,17.419658554971825
Jodhpur,optimized_land,26.25,73.05,0.0,170.6810629757857,19.484139609107956
