Ubicación,Capacidad_kW,Energía_Anual_kWh,Factor_Capacidad_%
Sevilla,500,801385.8471203132,18.296480527861032
Sevilla,1000,1602695.6172979493,18.29561206961129
Sevilla,5000,8012968.490854876,18.294448609257707
Iquique,500,608156.0648650273,13.884841663585098
Iquique,1000,1216297.6683138234,13.884676578924926
Iquique,5000,6081391.473452402,13.884455418841101
Jodhpur,500,793643.298090845,18.119710002074086
Jodhpur,1000,1587256.9493116867,18.119371567485008
Jodhpur,5000,7936086.159296647,18.118918171910153
