Ubicación,Capacidad_kW,Energía_Anual_kWh,Factor_Capacidad_%,Azimuth
Sevilla,500,805715.86214977,18.3953393184879,180
Sevilla,1000,1611387.6320311832,18.39483598209113,180
Sevilla,5000,8056642.774156693,18.394161584832634,180
Iquique,500,597847.0299998991,13.649475570773953,0
Iquique,1000,1195655.8237347347,13.649039083729846,0
Iquique,5000,5978022.996678676,13.648454330316612,0
Jodhpur,500,792317.3933983328,18.08943820544139,180
Jodhpur,1000,1584594.2912664835,18.088975927699583,180
Jodhpur,5000,7922700.199372555,18.088356619572043,180
